Focus Area,0,1,2,3,4,5+
Central Auckland,-,17,17,2,1,-
Central Auckland East,2,-,8,18,13,3
Central Auckland West,-,1,6,11,1,1
Eastern Suburbs,-,3,15,25,12,3
Franklin/Manukau Rural,7,-,5,23,20,7
North Shore,3,2,7,39,34,26
Northland,2,1,1,16,6,1
Pakuranga/Howick,6,3,15,25,31,21
Rodney,4,-,8,17,24,11
South Auckland,6,3,41,67,38,10
West Auckland,5,4,28,82,30,13
Total,35,34,151,325,210,96
