Statistical area 2 code (2018 areas),Statistical area 2 description,"2006 Census, occupied private dwelling type(1)(10)(16)",,,,,"2013 Census, occupied private dwelling type(1)(10)(16)",,,,,"2018 Census, occupied private dwelling type(1)(10)(16)",,,,,"2006 Census, dwelling record type,(1)
for occupied dwellings  ",,,"2013 Census, dwelling record type,(1)
for occupied dwellings  ",,,"2018 Census, dwelling record type,(1)
for occupied dwellings  ",,,"2018 Census, occupied non-private dwelling type(1)(13)",,,,"2006 Census, number of rooms,(2)(11)
for occupied private dwellings ",,,,,,,,,,,"2013 Census, number of rooms,(2)(11)
for occupied private dwellings ",,,,,,,,,,,"2018 Census, number of rooms,(2)(11)
for occupied private dwellings ",,,,,,,,,,,"2006 Census, number of bedrooms,(3) 
for occupied private dwellings ",,,,,,,,"2013 Census, number of bedrooms,(3)
for occupied private dwellings ",,,,,,,,"2018 Census, number of bedrooms,(3) 
for occupied private dwellings ",,,,,,,,"2018 Census, main types of heating used to heat dwellings (total responses),(4)(12)(13)
for occupied private dwellings  ",,,,,,,,,,,,"2006 Census, fuel types used to heat dwellings (total responses),(5)(14)(15)
for occupied private dwellings ",,,,,,,,,,,"2013 Census, fuel types used to heat dwellings (total responses),(5)(14)(15)
for occupied private dwellings ",,,,,,,,,,,"2018 Census, fuel types used to heat dwellings (total responses),(5)(14)(15)
for occupied private dwellings ",,,,,,,,,,,"2006 Census, dwelling occupancy status,(6)(16)
for all dwellings ",,,,,,"2013 Census, dwelling occupancy status,(6)(16)
for all dwellings ",,,,,,"2018 Census, dwelling occupancy status,(6)(16)
for all dwellings ",,,,,,"2018 Census, access to basic amenities,(7)(13)(17)(18)
for occupied private dwellings ",,,,,,,,,,,"2018 Census, dwelling dampness indicator,(8)(13)(18)
for occupied private dwellings ",,,,,,,"2018 Census, dwelling mould indicator,(9)(13)(18)
for occupied private dwellings ",,,,,,
111100,Warkworth West,492,66,3,21,573,573,102,3,27,705,750,210,3,0,963,573,3,579,705,0,705,963,6,969,C,C,C,6,3,9,15,45,78,162,99,147,558,18,573,0,6,15,51,102,195,132,177,678,27,705,0,3,18,66,144,243,189,303,963,0,963,15,102,306,108,30,561,12,573,18,129,327,156,54,684,21,705,54,252,384,213,60,963,0,963,21,444,390,108,27,204,6,0,9,897,75,963,408,216,180,12,0,3,18,9,564,12,573,537,174,204,9,0,12,24,15,681,24,705,723,138,210,0,0,0,21,0,897,75,963,579,6,33,39,9,630,705,24,69,93,9,807,969,42,39,78,6,1053,3,891,879,894,882,894,894,891,897,63,963,9,105,114,762,879,87,963,15,69,84,792,876,90,963
111200,Puhoi Valley,897,24,24,51,999,1041,33,21,69,1164,1173,51,24,0,1248,999,3,1002,1164,6,1170,1248,6,1254,C,C,C,6,12,12,39,60,108,168,186,363,945,51,999,12,15,30,81,114,210,222,417,1101,60,1164,3,6,27,69,96,231,261,561,1248,0,1248,54,129,396,276,90,945,54,999,63,144,423,345,135,1110,54,1164,69,150,489,381,159,1248,0,1248,30,345,426,57,60,789,6,6,36,1146,111,1248,627,282,672,42,0,45,15,12,942,54,999,765,201,798,21,0,60,18,15,1104,60,1164,678,120,804,6,0,3,30,3,1146,117,1248,1002,78,69,147,21,1167,1170,36,114,150,18,1338,1254,87,84,171,24,1446,3,1137,1092,1137,1134,1137,1134,1140,1146,102,1248,18,168,186,933,1119,129,1248,42,114,156,969,1128,120,1248
111300,Warkworth East,669,114,3,27,816,843,105,3,36,987,1026,102,3,0,1134,816,6,822,987,12,999,1134,9,1143,6,C,C,9,3,9,36,66,141,225,138,165,786,24,816,3,6,36,63,156,279,213,201,957,30,987,0,9,12,57,144,261,285,363,1134,0,1134,27,192,396,141,39,795,21,816,33,183,465,222,54,960,27,987,39,189,528,318,57,1134,0,1134,57,543,462,93,48,273,6,6,9,1065,75,1134,603,264,288,27,0,9,24,9,792,21,816,738,204,300,18,0,15,42,12,951,36,987,834,138,282,6,0,0,57,0,1065,81,1134,822,30,33,63,15,903,999,15,45,60,18,1077,1143,42,69,114,66,1320,6,1050,1041,1053,1026,1056,1056,1050,1068,66,1134,24,153,177,852,1032,102,1134,48,99,147,894,1047,87,1134
111400,Sandspit,285,9,3,6,306,342,6,3,12,366,378,15,6,0,399,306,0,309,366,6,372,399,6,405,C,6,C,6,3,3,6,18,21,54,51,144,303,3,306,0,3,6,15,30,51,78,162,348,21,366,3,0,0,12,33,69,75,210,399,0,399,12,30,123,108,30,303,6,306,12,30,147,123,39,351,15,366,12,42,162,135,48,399,0,399,6,168,150,36,12,243,3,0,12,381,24,399,228,90,195,6,0,9,9,3,303,3,306,267,66,228,9,0,15,6,6,351,15,366,267,45,249,0,0,0,6,3,381,27,399,309,18,39,57,18,384,372,18,105,123,3,498,405,33,21,48,0,456,0,378,366,375,378,378,381,378,381,18,399,9,30,39,342,378,24,399,9,27,36,339,375,24,399
111500,Tawharanui Peninsula,519,30,9,21,582,624,18,9,54,705,780,27,9,0,816,582,0,585,705,3,708,816,6,822,C,6,C,6,3,9,18,39,75,126,135,165,570,15,582,6,6,18,36,90,150,129,225,663,45,705,0,3,9,15,63,147,171,405,816,0,816,27,87,261,156,39,570,12,582,27,84,285,204,66,666,42,705,21,72,342,300,78,816,0,816,15,354,285,111,30,321,3,0,33,762,57,816,414,183,288,3,0,15,12,9,567,15,582,516,192,306,6,0,24,9,9,663,45,705,552,144,333,0,0,0,15,3,762,66,816,585,87,993,1080,42,1710,708,111,1146,1257,24,1992,822,705,600,1302,39,2166,3,756,747,759,753,756,756,756,762,51,816,3,72,75,678,753,60,816,15,48,63,693,756,60,816
111600,Te Kuru,528,15,9,39,588,612,18,18,51,699,759,24,12,0,792,588,3,591,699,3,702,792,3,795,C,C,C,3,0,6,15,36,72,123,114,189,555,33,588,3,6,18,42,66,156,138,231,654,45,699,3,3,12,24,72,153,162,363,792,0,792,30,81,231,162,60,558,30,588,24,84,264,210,72,654,45,699,27,87,285,297,96,792,0,792,18,249,270,45,54,444,3,0,24,723,75,792,369,222,348,18,0,6,9,9,555,33,588,432,147,414,12,0,21,12,6,651,51,699,450,102,447,0,0,3,18,0,723,78,792,591,6,30,36,9,636,702,6,27,33,3,735,795,27,39,69,6,867,0,723,684,726,720,723,726,723,726,66,792,15,102,117,603,717,75,792,27,69,96,627,720,72,792
111700,Snells Beach,984,72,6,54,1119,1059,93,6,69,1224,1293,102,6,0,1404,1119,3,1125,1224,3,1230,1404,6,1410,C,C,C,6,9,12,42,84,162,264,231,258,1062,57,1119,6,12,30,93,180,270,267,297,1155,69,1224,0,6,15,75,162,360,348,435,1404,0,1404,42,201,516,246,57,1068,51,1119,45,210,570,267,66,1161,69,1224,42,234,723,312,90,1404,0,1404,48,537,648,78,96,354,15,0,12,1320,90,1404,801,336,363,24,0,6,36,12,1068,51,1119,903,240,363,18,0,15,42,12,1155,75,1224,1035,168,369,0,0,0,48,0,1317,93,1404,1125,30,270,300,9,1437,1230,42,258,300,15,1545,1410,222,90,312,15,1737,0,1317,1293,1314,1293,1317,1317,1308,1320,84,1404,24,198,222,1056,1278,126,1404,36,126,162,1134,1299,105,1404
111800,Barrier Islands,354,15,27,54,450,378,15,33,66,498,486,27,33,0,546,450,12,459,498,9,504,546,12,561,C,12,C,12,27,21,45,72,66,84,45,54,408,39,450,21,18,54,87,84,72,39,57,435,63,498,6,9,51,75,108,156,51,90,546,0,546,81,123,138,39,24,411,39,450,81,150,141,42,21,435,60,498,111,162,201,45,24,546,0,546,30,3,3,15,54,279,0,6,3,339,213,546,21,198,300,9,0,51,21,18,405,42,450,12,159,330,6,0,39,33,12,432,63,498,9,66,279,6,0,0,30,0,339,213,546,459,60,312,372,6,837,504,57,396,453,3,963,561,447,147,573,6,1158,6,324,315,327,294,315,303,255,336,210,546,9,84,93,237,330,216,546,12,54,66,255,324,225,546
111900,Algies Bay-Scotts Landing,342,21,3,15,384,366,45,3,24,441,471,36,6,0,513,384,3,387,441,6,447,513,3,516,C,C,C,3,3,6,15,27,45,69,84,123,369,15,384,6,0,12,30,42,90,87,153,423,21,441,3,0,12,27,36,99,105,237,513,0,513,15,69,174,93,24,372,12,384,27,60,183,120,42,423,18,441,21,72,216,162,42,513,0,513,21,168,213,42,27,186,3,0,6,465,51,513,279,93,150,6,0,12,12,3,369,15,384,333,93,168,9,0,18,9,3,423,18,441,330,66,189,0,0,3,21,0,465,51,513,387,18,294,312,9,714,447,33,285,318,0,762,516,210,54,264,6,786,3,456,444,453,444,456,456,456,462,51,513,15,48,63,393,456,57,513,18,39,57,396,453,60,513
112000,Inlets other Auckland,3,0,24,15,39,0,3,6,0,9,C,C,9,C,9,39,0,39,9,0,9,9,0,9,C,C,C,0,0,6,3,3,3,3,0,3,24,15,39,C,C,C,C,C,C,C,C,6,C,9,C,C,C,C,C,C,C,C,6,C,9,9,6,6,0,0,24,18,39,C,C,C,C,C,6,C,9,C,C,C,C,C,6,C,9,C,C,C,C,C,C,C,C,C,6,C,9,6,6,3,0,0,0,9,3,24,15,39,C,C,C,C,C,C,C,C,6,C,9,C,C,C,C,C,C,C,C,6,C,9,39,C,C,C,C,42,9,C,C,C,C,9,9,C,C,C,C,9,C,6,6,6,C,C,6,C,6,C,9,C,C,C,C,C,C,9,C,C,C,C,6,C,9
