Address,Price,Bedrooms,Bathrooms,Date Listed,link,Suburb
"44 Esplanade Rd, Mount Eden",620.0,2,1,Listed: 10 Oct 2023,/address/auckland/mount-eden/44-esplanade-road/rGb2k,Mount Eden
"24/146 Fanshawe St, City Centre",580.0,2,1,Listed: 10 Oct 2023,/address/auckland/auckland-central/24-146-fanshawe-street/vpV8O,City Centre
"1107/85 Beach Road, City Centre",620.0,2,1,Listed: 10 Oct 2023,/address/auckland/auckland-central/1107-85-beach-road/pOxvQ,City Centre
"44/2 Cawley Street, Ellerslie",680.0,2,1,Listed: 10 Oct 2023,/address/auckland/ellerslie/44-2-cawley-street/R5MwY,Ellerslie
"307/250 Kepa Road, Mission Bay",765.0,1,1,Listed: 10 Oct 2023,/address/auckland/mission-bay/307-250-kepa-road/OAXD1,Mission Bay
"7D Walford Road, Point Chevalier",1300.0,4,3,Listed: 10 Oct 2023,/address/auckland/point-chevalier/7-walford-road/BDvV57,Point Chevalier
"6B/11 Durham Street East, City Centre",360.0,1,1,Listed: 10 Oct 2023,/address/auckland/auckland-central/6b-11-durham-street-east/pL9NQ,City Centre
"6/52 Ascot Avenue, Remuera",690.0,3,1,Listed: 10 Oct 2023,/address/auckland/remuera/6-52-ascot-avenue/K7JJQ,Remuera
"1/2 Torrance Street, Epsom",580.0,2,1,Listed: 10 Oct 2023,/address/auckland/epsom/1-2-torrance-street/gVyQ2,Epsom
"4/12 Dinglebank Rd, Mount Wellington",510.0,2,1,Listed: 10 Oct 2023,/address/auckland/mount-wellington/4-12-dinglebank-road/bLAOa,Mount Wellington
"84 Aranui Road, Mount Wellington",300.0,3,1,Listed: 10 Oct 2023,/address/auckland/mount-wellington/84-aranui-road/8EDqK,Mount Wellington
"1/10 Mauretania Place, Lynfield",580.0,2,1,Listed: 10 Oct 2023,/address/auckland/lynfield/1-10-mauretania-place/KzaKW,Lynfield
"2/65 Dundale Ave, Blockhouse Bay",670.0,3,2,Listed: 10 Oct 2023,/address/auckland/blockhouse-bay/2-65-dundale-avenue/EgvevG,Blockhouse Bay
"9A/109 Vincent Street, City Centre",430.0,1,1,Listed: 10 Oct 2023,/address/auckland/auckland-central/9a-109-vincent-street/YlZb7,City Centre
"31 Findlay Street, Ellerslie",780.0,4,1,Listed: 10 Oct 2023,/address/auckland/ellerslie/31-findlay-street/4W9a,Ellerslie
"202/25 Pollen Street, Ponsonby",1000.0,2,2,Listed: 10 Oct 2023,/address/auckland/grey-lynn/202-25-pollen-street/7Z8Pk,Ponsonby
"11C Athens Road, One Tree Hill",1100.0,4,3,Listed: 10 Oct 2023,/address/auckland/onehunga/11-athens-road/PMPVzL,One Tree Hill
"705/1 Greys Avenue, City Centre",730.0,1,1,Listed: 10 Oct 2023,/address/auckland/auckland-central/705-1-greys-avenue/7avOzv,City Centre
"59/406 Great North Road, Grey Lynn",820.0,2,3,Listed: 10 Oct 2023,/address/auckland/grey-lynn/59-406-great-north-road/DgvVb1,Grey Lynn
"159c Meadowbank Road, Meadowbank",750.0,3,1,Listed: 10 Oct 2023,/address/auckland/meadowbank/159c-meadowbank-road/grv50,Meadowbank
"1/24 Douglas Road, Mount Eden",670.0,2,1,Listed: 09 Oct 2023,/address/auckland/mount-eden/1-24-douglas-road/eV7NE7,Mount Eden
"8I/508 Queen Street, City Centre",400.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/8i-508-queen-street/bLpz,City Centre
"63/32 Edwin Street, Eden Terrace",850.0,3,1,Listed: 09 Oct 2023,/address/auckland/mount-eden/63-32-edwin-street/wG0D,Eden Terrace
"3/296 Ellerslie Panmure Highway, Mount Wellington",585.0,2,1,Listed: 09 Oct 2023,/address/auckland/mount-wellington/3-296-ellerslie-panmure-highway/0zAaZ,Mount Wellington
"8 Airedale Street, City Centre",420.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/8-airedale-street/pLaara,City Centre
"72 Nelson Street, City Centre",540.0,2,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/72-nelson-street/Rz8BYP,City Centre
"64/146 Fanshawe Street, City Centre",670.0,3,2,Listed: 09 Oct 2023,/address/auckland/auckland-central/64-146-fanshawe-street/0ORG,City Centre
"6B/4 St Paul Street, City Centre",460.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/6b-4-st-paul-street/rN82D,City Centre
"44/428 Great North Road, Grey Lynn",790.0,2,1,Listed: 09 Oct 2023,/address/auckland/grey-lynn/44-428-great-north-road/y0gL5K,Grey Lynn
"107A White Swan Road, Mount Roskill",720.0,3,2,Listed: 09 Oct 2023,/address/auckland/mount-roskill/107a-white-swan-road/WlRlb,Mount Roskill
"20 Beachcroft Avenue, Onehunga",1000.0,4,2,Listed: 09 Oct 2023,/address/auckland/onehunga/20-beachcroft-avenue/vbQP0,Onehunga
"4 Balmoral Road, Epsom",700.0,2,1,Listed: 09 Oct 2023,/address/auckland/epsom/4-balmoral-road/DEnxw,Epsom
"PC/17 Blake Street, Ponsonby",540.0,1,1,Listed: 09 Oct 2023,/address/auckland/ponsonby/pc-17-blake-street/gJG9N,Ponsonby
"5g/30 Upper Queen St, City Centre",620.0,2,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/5g-30-upper-queen-street/axy2Ow,City Centre
"19/1 Glenside Crescent, City Centre",750.0,2,2,Listed: 09 Oct 2023,/address/auckland/grafton/19-1-glenside-crescent/2zJgJ,City Centre
"4J/250 Richmond Road, Grey Lynn",550.0,1,1,Listed: 09 Oct 2023,/address/auckland/grey-lynn/4j-250-richmond-road/b4rJk,Grey Lynn
"104B Duke Street, Three Kings",870.0,3,3,Listed: 09 Oct 2023,/address/auckland/mount-roskill/b-104-duke-street/eaeOA2,Three Kings
"9 Hubert Henderson Place, Remuera",830.0,4,1,Listed: 09 Oct 2023,/address/auckland/remuera/9-hubert-henderson-place/XKxeW,Remuera
"L4/105 Queen Street, City Centre",440.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/424-105-queen-street/4ERlg,City Centre
"1A/37-39 Federal Street , City Centre",600.0,2,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/1a-37-federal-street/2G20J,City Centre
"12A/147 Hobson Street, City Centre",580.0,4,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/12a-147-hobson-street/k94an,City Centre
"33/8 Eaglehurst Road, Ellerslie",750.0,3,2,Listed: 09 Oct 2023,/address/auckland/ellerslie/33-8-eaglehurst-road/JlLAL,Ellerslie
"2/180 Green Lane West, Greenlane",620.0,3,1,Listed: 09 Oct 2023,/address/auckland/greenlane/2-180-green-lane-west/MkLAn,Greenlane
"1502/38A Liverpool Street, City Centre",1400.0,3,2,Listed: 09 Oct 2023,/address/auckland/auckland-central/1502-38a-liverpool-street/glZEQ,City Centre
"1C Bathurst Road, Mount Eden",520.0,1,1,Listed: 09 Oct 2023,/address/auckland/mount-eden/c-1-bathurst-road/W8lbW,Mount Eden
"5T/435 New North Road, Kingsland",680.0,1,1,Listed: 09 Oct 2023,/address/auckland/kingsland/5t-435-new-north-road/7JZYE,Kingsland
"327/35 Hobson Street, City Centre",420.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/327-35-hobson-street/NKpq5,City Centre
"14B Rosedale Avenue, Mount Eden",830.0,4,2,Listed: 09 Oct 2023,/address/auckland/mount-eden/14-rosedale-avenue/zDMeb5,Mount Eden
"18/25 Rossmay Terrace, Mount Eden",750.0,3,2,Listed: 09 Oct 2023,/address/auckland/mount-eden/18-25-rossmay-terrace/rNVNR,Mount Eden
"31 Combes Road, Remuera",1100.0,4,2,Listed: 09 Oct 2023,/address/auckland/remuera/31-combes-road/xVMJb,Remuera
"2N/32 Eden crescent, City Centre",425.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/2n-32-eden-crescent/0ZzxO,City Centre
"101/1 Greys Avenue, City Centre",1300.0,2,2,Listed: 09 Oct 2023,/address/auckland/auckland-central/101-1-greys-avenue/BDN798,City Centre
"456A Karangahape Road, City Centre",395.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/456-karangahape-road/0wQeX9,City Centre
"8E/117 Victoria St West , City Centre",700.0,2,2,Listed: 09 Oct 2023,/address/auckland/auckland-central/8e-117-victoria-street-west/0nJGO,City Centre
"88A Queenstown Road, Onehunga",950.0,4,2,Listed: 09 Oct 2023,/address/auckland/onehunga/88a-queenstown-road/GORyO,Onehunga
"2/137 Crummer Road, Grey Lynn",540.0,1,1,Listed: 09 Oct 2023,/address/auckland/grey-lynn/2-137-crummer-road/l52GZx,Grey Lynn
"4#/6 Piwakawaka Street, Eden Terrace",650.0,2,1,Listed: 09 Oct 2023,/address/auckland/eden-terrace/4--6-piwakawaka-street/Dg7WeL,Eden Terrace
"2/4 Webber Street, Westmere",995.0,3,1,Listed: 09 Oct 2023,/address/auckland/westmere/2-4-webber-street/Z9XR9,Westmere
"6#/135 Vincent Street, City Centre",520.0,2,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/6--135-vincent-street/GReJwX,City Centre
"72 Nelson, City Centre",365.0,2,1,Listed: 09 Oct 2023,/address/auckland-city/city-centre/72-nelson/b4nlyY,City Centre
"1/130B Balmoral Road, Mount Eden",400.0,1,1,Listed: 09 Oct 2023,/address/auckland/mount-eden/1-130b-balmoral-road/gr9Y5B,Mount Eden
"5#/149 Nelson Street, City Centre",460.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/5--149-nelson-street/y0grVM,City Centre
"47 Hobson Street, City Centre",590.0,2,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/47-hobson-street/gr9Yve,City Centre
"9/2A Ewenson Ave, One Tree Hill",620.0,3,1,Listed: 09 Oct 2023,/address/auckland/one-tree-hill/9-2a-ewenson-avenue/N4rjgM,One Tree Hill
"50 Pompallier Terrace, Ponsonby",820.0,3,1,Listed: 09 Oct 2023,/address/auckland/ponsonby/50-pompallier-terrace/5KQ2R,Ponsonby
"12a/8 Scotia Place, City Centre",430.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/12a-8-scotia-place/8RNK,City Centre
"1#/32 Eden Crescent, City Centre",420.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/1--32-eden-crescent/vMDBQX,City Centre
"72 Nelson Street, City Centre",350.0,2,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/72-nelson-street/QjQBMX,City Centre
"1/110 Ladies Mile, Ellerslie",895.0,4,2,Listed: 09 Oct 2023,/address/auckland/ellerslie/1-110-ladies-mile/Qn1ZJ,Ellerslie
"2/14 Quentin Avenue, Epsom",830.0,3,2,Listed: 09 Oct 2023,/address/auckland/epsom/2-14-quentin-avenue/LoWWo,Epsom
"452/6 Princes Street, City Centre",795.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/452-6-princes-street/1GVxyp,City Centre
"5-2C/9 Victoria Street East, City Centre",330.0,1,4,Listed: 09 Oct 2023,/address/auckland/auckland-central/5-2c-9-victoria-street-east/5jkl7L,City Centre
"10E/30 Symonds Street, City Centre",220.0,1,1,Listed: 09 Oct 2023,/address/auckland/grafton/10e-30-symonds-street/B95z7,City Centre
"4/30 Rutland Road, Mount Wellington",625.0,3,1,Listed: 09 Oct 2023,/address/auckland/mount-wellington/4-30-rutland-road/8ZORx,Mount Wellington
"3/533 Manukau Road, Epsom",440.0,1,1,Listed: 09 Oct 2023,/address/auckland/epsom/3-533-manukau-road/vVxyG,Epsom
"8D/17 Albert Street, City Centre",285.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/8d-17-albert-street/WKJYz7,City Centre
"21i/76 Albert Street, City Centre",395.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/21i-76-albert-street/rNqJ1,City Centre
"15/11 Balfour Road, Parnell",525.0,1,1,Listed: 09 Oct 2023,/address/auckland/parnell/15-11-balfour-road/7JLxv,Parnell
"413/77 Halsey Street, City Centre",550.0,1,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/413-77-halsey-street/Pkgnv,City Centre
"16A Edenvale Crescent, Mount Eden",1150.0,4,1,Listed: 09 Oct 2023,/address/auckland/mount-eden/16-edenvale-crescent/ABno8x,Mount Eden
"1003/168 Hobson Street , City Centre",550.0,2,1,Listed: 09 Oct 2023,/address/auckland/auckland-central/1003-168-hobson-street/oWMGg,City Centre
"1/37 Upland Road, Remuera",950.0,3,2,Listed: 09 Oct 2023,/address/auckland/remuera/1-37-upland-road/KE2Lwx,Remuera
"1/29 Dudley Road, Mission Bay",600.0,2,1,Listed: 09 Oct 2023,/address/auckland/mission-bay/1-29-dudley-road/zQYNE,Mission Bay
"L10/18 Scotia Place, City Centre",530.0,2,1,Listed: 08 Oct 2023,/address/auckland/auckland-central/10-18-scotia-place/Y1Wrwp,City Centre
"125 Carrington Road, Point Chevalier",400.0,1,1,Listed: 08 Oct 2023,/address/auckland/point-chevalier/125-carrington-road/XYWxDn,Point Chevalier
"100X/6-8 Lorne Street, City Centre",520.0,1,1,Listed: 08 Oct 2023,/address/auckland/auckland-central/100x-6-lorne-street/q0OPNx,City Centre
"102/8 Whitaker Place, Grafton",600.0,2,1,Listed: 08 Oct 2023,/address/auckland/grafton/102-8-whitaker-place/8EP9a1,Grafton
"1B/406-428 Great North Road, Grey Lynn",530.0,1,1,Listed: 08 Oct 2023,/address/auckland/grey-lynn/1b-406-great-north-road/9JPGwK,Grey Lynn
"1A/406 Great North Road, Grey Lynn",585.0,1,1,Listed: 08 Oct 2023,/address/auckland/grey-lynn/1a-406-great-north-road/axWw7e,Grey Lynn
"Alaunia Pl, Lynfield",850.0,3,2,Listed: 08 Oct 2023,/address/auckland-city/lynfield/0-alaunia-pl/RzWo0Y,Lynfield
"2/380 Ellerslie-Panmure Highway, Mount Wellington",620.0,3,1,Listed: 08 Oct 2023,/address/auckland/mount-wellington/2-380-ellerslie-panmure-highway/0zxRZ,Mount Wellington
"715/147 Nelson Street, City Centre",650.0,1,1,Listed: 08 Oct 2023,/address/auckland/auckland-central/715-147-nelson-street/QvbvX,City Centre
"147 Quay Street (Shed 22), City Centre",1650.0,2,2,Listed: 07 Oct 2023,/address/auckland-city/city-centre/147-quay-street--shed-22-/zD05QE,City Centre
"43 Maungarei Road, Remuera",920.0,3,2,Listed: 07 Oct 2023,/address/auckland/remuera/43-maungarei-road/21jEN,Remuera
"12 Rangipawa Road, One Tree Hill",950.0,3,1,Listed: 07 Oct 2023,/address/auckland/one-tree-hill/12-rangipawa-road/vbqwe,One Tree Hill
"51 Richmond Road, Ponsonby",1895.0,3,2,Listed: 07 Oct 2023,/address/auckland/grey-lynn/51-richmond-road/M82rv,Ponsonby
"5R/16 Burton Street, Grafton",670.0,2,1,Listed: 06 Oct 2023,/address/auckland/grafton/5r-16-burton-street/l5Kpo,Grafton
"8 St Leonards Road, Mount Eden",950.0,5,1,Listed: 06 Oct 2023,/address/auckland/mount-eden/8-st-leonards-road/ZBwp,Mount Eden
"4 Dockside Lane, City Centre",665.0,2,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/4-dockside-lane/QjrDLA,City Centre
"2205/32 Swanson Street, City Centre",460.0,1,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/2205-32-swanson-street/RakjY,City Centre
"803B/438 Queen Street, City Centre",450.0,1,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/803b-438-queen-street/OYzE2R,City Centre
"3/148 Arthur Street, Onehunga",700.0,2,1,Listed: 06 Oct 2023,/address/auckland/onehunga/3-148-arthur-street/XobRJ,Onehunga
"G03/135-145 Symonds Street, Eden Terrace",390.0,1,1,Listed: 06 Oct 2023,/address/auckland/eden-terrace/g03-135-symonds-street/grEjJN,Eden Terrace
"302/20 Upper Queen St, City Centre",550.0,2,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/302-20-upper-queen-street/NL9og,City Centre
"1F/6 Piwakawaka Street, Eden Terrace",590.0,2,2,Listed: 06 Oct 2023,/address/auckland/eden-terrace/1f-6-piwakawaka-street/wBE2,Eden Terrace
"41/406 Great North Road, Grey Lynn",780.0,2,2,Listed: 06 Oct 2023,/address/auckland/grey-lynn/41-406-great-north-road/1GzlWW,Grey Lynn
"L10/6 Lorne Street, City Centre",390.0,1,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/10-6-lorne-street/b41jVb,City Centre
"2/3A Haast Street, Remuera",850.0,3,2,Listed: 06 Oct 2023,/address/auckland/remuera/2-3a-haast-street/1GzGER,Remuera
"106 Vincent Street, City Centre",460.0,1,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/106-vincent-street/5jLjvX,City Centre
"14A Wheturangi Road, Greenlane",750.0,2,1,Listed: 06 Oct 2023,/address/auckland/greenlane/14-wheturangi-road/grEJye,Greenlane
"9D/15 Whitaker Place, City Centre",595.0,3,1,Listed: 06 Oct 2023,/address/auckland/grafton/9d-15-whitaker-place/Y2aPy,City Centre
"2B/2 White Street, City Centre",480.0,2,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/2b-2-white-street/z4a8O,City Centre
"52B King George Avenue, Epsom",1400.0,5,3,Listed: 06 Oct 2023,/address/auckland/epsom/52b-king-george-avenue/VjJP5,Epsom
"4/7 Gowing Drive, Meadowbank",450.0,1,1,Listed: 06 Oct 2023,/address/auckland/meadowbank/4-7-gowing-drive/9JXzV9,Meadowbank
"6/14 Campbell Road, Royal Oak",650.0,3,1,Listed: 06 Oct 2023,/address/auckland/royal-oak/6-14-campbell-road/zD8rJ,Royal Oak
"1133A Dominion Road, Mount Roskill",1100.0,5,3,Listed: 06 Oct 2023,/address/auckland/mount-roskill/1133a-dominion-road/yRk8E,Mount Roskill
"5/81-83 Jervois Road, Herne Bay",650.0,2,1,Listed: 06 Oct 2023,/address/auckland/ponsonby/5-81-jervois-road/QjrnqP,Herne Bay
"32D Roseville St, New Windsor",695.0,2,1,Listed: 06 Oct 2023,/address/auckland/new-windsor/32-roseville-street/q0LxBg,New Windsor
"32A Roseville St, New Windsor",795.0,3,2,Listed: 06 Oct 2023,/address/auckland/new-windsor/32-roseville-street/DgnqOn,New Windsor
"72 Nelson Street, City Centre",375.0,2,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/72-nelson-street/N4rjRn,City Centre
"72 Nelson Street, City Centre",475.0,2,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/72-nelson-street/9J2rQA,City Centre
"15/3 Sherbourne Road, Mount Eden",550.0,1,1,Listed: 06 Oct 2023,/address/auckland/mount-eden/15-3-sherbourne-road/NzzJ5,Mount Eden
"8/11 Nicholas Street, City Centre",510.0,1,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/8-11-nicholas-street/krQJro,City Centre
"145 Nelson Street, City Centre",900.0,2,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/145-nelson-street/492Dl,City Centre
"4/48 Esplanade Road, Mount Eden",440.0,1,1,Listed: 06 Oct 2023,/address/auckland/mount-eden/4-48-esplanade-road/7JErE,Mount Eden
"70 Sale Street, City Centre",590.0,1,1,Listed: 06 Oct 2023,/address/auckland/auckland-central/70-sale-street/krQoJA,City Centre
"6 Fontenoy Street, Mount Albert",850.0,3,2,Listed: 06 Oct 2023,/address/auckland/mount-albert/6-fontenoy-street/zx8QJ,Mount Albert
"2302/32 Swanson Street, City Centre",750.0,2,2,Listed: 06 Oct 2023,/address/auckland/auckland-central/2302-32-swanson-street/LBljN,City Centre
"4D/16 Chapman Street, Grey Lynn",700.0,2,2,Listed: 06 Oct 2023,/address/auckland/grey-lynn/4d-16-chapman-street/OGXxR,Grey Lynn
"3/21 Montrose St, Point Chevalier",450.0,1,1,Listed: 06 Oct 2023,/address/auckland/point-chevalier/3-21-montrose-street/XYxnE0,Point Chevalier
"327/184 Symonds Street, Eden Terrace",600.0,2,1,Listed: 06 Oct 2023,/address/auckland/eden-terrace/327-184-symonds-street/4ReP8,Eden Terrace
"66A Albrecht Avenue, Mount Roskill",740.0,3,1,Listed: 06 Oct 2023,/address/auckland/mount-roskill/66a-albrecht-avenue/0e4G,Mount Roskill
"Apt. 2c/11 George Street, Newmarket",1100.0,3,3,Listed: 06 Oct 2023,/address/auckland/newmarket/apt--2c-11-george-street/JboWJO,Newmarket
"2/1 Kingsway Avenue, Sandringham",500.0,2,1,Listed: 05 Oct 2023,/address/auckland/sandringham/2-1-kingsway-avenue/Y10BM,Sandringham
"5A Buchanan Street, Kingsland",660.0,3,1,Listed: 05 Oct 2023,/address/auckland/kingsland/5-buchanan-street/oGQqZ5,Kingsland
"221/125 Customs street West, City Centre",850.0,2,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/221-125-customs-street-west/Vl77o,City Centre
"2D/3 Edinburgh Street, City Centre",745.0,2,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/2d-3-edinburgh-street/RzeXPq,City Centre
"304/2A Truro Road, Sandringham",640.0,2,2,Listed: 05 Oct 2023,/address/auckland/sandringham/304-2a-truro-road/DgBljN,Sandringham
"3 Carmont Street, Remuera",2500.0,6,4,Listed: 05 Oct 2023,/address/auckland/remuera/3-carmont-street/JxRR,Remuera
"5/71 Sarsfield Street, City Centre",1050.0,2,2,Listed: 05 Oct 2023,/address/auckland/herne-bay/5-71-sarsfield-street/oGQGzb,City Centre
"2J/16 Market Place Auckland, Auckland City1010",530.0,1,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/2j-16-market-place/LonoeJ,Auckland City1010
"15 Hillsborough Road, Hillsborough",1400.0,6,5,Listed: 05 Oct 2023,/address/auckland/hillsborough/15-hillsborough-road/wnLAr,Hillsborough
"2/21 Ngake Street, Orakei",525.0,1,1,Listed: 05 Oct 2023,/address/auckland/orakei/21b-ngake-street/VlMR7,Orakei
"147 Nelson Street, City Centre",650.0,2,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/147-nelson-st/eqG5x,City Centre
"5B/132 Vincent Street, City Centre",880.0,2,2,Listed: 05 Oct 2023,/address/auckland/auckland-central/5b-132-vincent-street/Zwew,City Centre
"3/33 Beckenham Avenue, Royal Oak",890.0,3,3,Listed: 05 Oct 2023,/address/auckland/royal-oak/3-33-beckenham-avenue/xL0LyZ,Royal Oak
"27 Union Street, City Centre",650.0,2,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/27-union-street/4R9RGr,City Centre
"409/4 Dockside Lane, City Centre",600.0,2,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/409-4-dockside-lane/0zGK9,City Centre
"16A Aorere Street, Parnell",960.0,3,2,Listed: 05 Oct 2023,/address/auckland/parnell/16a-aorere-street/9zpNA,Parnell
"465A Onehunga Mall Rd, Onehunga",900.0,4,2,Listed: 05 Oct 2023,/address/auckland/onehunga/465a-onehunga-mall/QXkoX,Onehunga
"1/46 Godden Crescent, Mission Bay",1550.0,4,3,Listed: 05 Oct 2023,/address/auckland/mission-bay/1-46-godden-crescent/kD40j,Mission Bay
"89B Alfred Street, Onehunga",995.0,4,3,Listed: 05 Oct 2023,/address/auckland/onehunga/89-alfred-street/zDk4EQ,Onehunga
"2/165 Tamaki Drive, Kohimarama",1300.0,3,2,Listed: 05 Oct 2023,/address/auckland/kohimarama/2-165-tamaki-drive/g00N9,Kohimarama
"89A Alfred Street, Onehunga",795.0,3,2,Listed: 05 Oct 2023,/address/auckland/onehunga/89-alfred-street/8EKJPx,Onehunga
"606/43 Anzac Avenue, City Centre",275.0,1,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/606-43-anzac-avenue/kYNew,City Centre
"303/145 Symonds Street, Eden Terrace",540.0,1,1,Listed: 05 Oct 2023,/address/auckland/eden-terrace/303-145-symonds-street/J4bLq,Eden Terrace
"597A Mt Albert Road, Three Kings",650.0,3,1,Listed: 05 Oct 2023,/address/auckland/royal-oak/597-mount-albert-road/LonjRW,Three Kings
"212 Richmond Rd, Ponsonby",790.0,3,1,Listed: 05 Oct 2023,/address/auckland/grey-lynn/212-richmond-road/nYgWN,Ponsonby
"L7/6 Dock Street, City Centre",680.0,2,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/7-6-dock-street/0wNz9J,City Centre
"L1/85 Wakefield Street, City Centre",395.0,1,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/1-85-wakefield-street/EgOYXG,City Centre
"Hillsborough, Auckland City",800.0,3,2,Listed: 05 Oct 2023,/address/auckland/hillsborough/336-hillsborough-road/V8KOo,Auckland City
"1/124 St Johns Road, Meadowbank",900.0,2,1,Listed: 05 Oct 2023,/address/auckland/saint-johns/1-124-st-johns-road/Py40,Meadowbank
"15/533 Manukau Road, Epsom",650.0,2,1,Listed: 05 Oct 2023,/address/auckland/epsom/15-533-manukau-road/ob51g,Epsom
"708/135 Vincent Street, City Centre",590.0,2,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/708-135-vincent-street/9J0yQ,City Centre
"L4/11 Union Street, City Centre",400.0,1,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/4-11-union-street/LonaXK,City Centre
"62/146 Fanshawe Street, City Centre",600.0,2,1,Listed: 05 Oct 2023,/address/auckland/auckland-central/62-146-fanshawe-street/oooqb,City Centre
"89 St Vincent Avenue, Remuera",835.0,3,1,Listed: 05 Oct 2023,/address/auckland/remuera/89-st-vincent-avenue/axpAL,Remuera
"2/205 Abbotts Way, Remuera",740.0,3,1,Listed: 05 Oct 2023,/address/auckland/remuera/2-205-abbotts-way/Y1aA7,Remuera
"30A Hayr Road, Three Kings",850.0,4,2,Listed: 04 Oct 2023,/address/auckland/three-kings/30a-hayr-road/Bj7jR,Three Kings
"26 Briody Terrace, Stonefields",1299.0,5,3,Listed: 04 Oct 2023,/address/auckland/stonefields/26-briody-terrace/OeMM,Stonefields
"32 Queen Mary Ave, Epsom",1800.0,5,3,Listed: 04 Oct 2023,/address/auckland/epsom/32-queen-mary-avenue/9zwRb,Epsom
"2/3 Eden Crescent, City Centre",650.0,2,1,Listed: 04 Oct 2023,/address/auckland/auckland-central/2-3-eden-crescent/kxYO,City Centre
"2/6 Prebble Place, Mission Bay",775.0,3,1,Listed: 04 Oct 2023,/address/auckland/mission-bay/2-6-prebble-place/qKDgg,Mission Bay
"Room 4/6C/17 Albert Street City Centre Auckland, City Centre",280.0,5,1,Listed: 04 Oct 2023,/address/auckland-city/city-centre/room-4-0-albert-street-city-centre-auckland/zD1oXR,City Centre
"23A Watea Road, Sandringham",1350.0,5,3,Listed: 04 Oct 2023,/address/auckland/sandringham/a-23-watea-road/gqGR9,Sandringham
"2/55 Brighton Road, Parnell",750.0,2,1,Listed: 04 Oct 2023,/address/auckland/parnell/2-55-brighton-road/DgbQNn,Parnell
"9#/72 Nelson Street, City Centre",460.0,2,1,Listed: 04 Oct 2023,/address/auckland/auckland-central/9--72-nelson-street/y01qJO,City Centre
"1/30 Amaru Road, One Tree Hill",720.0,3,1,Listed: 04 Oct 2023,/address/auckland/one-tree-hill/1-30-amaru-road/DlZJv,One Tree Hill
"5A Pasteur Place, New Windsor",700.0,3,2,Listed: 04 Oct 2023,/address/auckland/new-windsor/5-pasteur-place/PMOjjD,New Windsor
"26 Old Mill Road, Grey Lynn",2450.0,4,2,Listed: 04 Oct 2023,/address/auckland/grey-lynn/26-old-mill-road/21O0K,Grey Lynn
"10D/156 Vincent Street, City Centre",580.0,2,1,Listed: 04 Oct 2023,/address/auckland/auckland-central/10d-156-vincent-street/rDbkY,City Centre
"3/365 Great South Road, Ellerslie",640.0,2,1,Listed: 04 Oct 2023,/address/auckland/ellerslie/3-365-great-south-road/DXK40,Ellerslie
"30A Dromorne Road, Remuera",1150.0,4,2,Listed: 04 Oct 2023,/address/auckland/remuera/30a-dromorne-road/4ZBBa,Remuera
