Area_Description,2018.0,"Abduction, Harassment and Other Related Offences Against a Person",Acts Intended to Cause Injury,"Robbery, Extortion and Related Offences",Sexual Assault and Related Offences,Theft and Related Offences,"Unlawful Entry With Intent/Burglary, Break and Enter"
Glendene,2226.0,0.0,11.0,6.0,0.0,187.0,57.0
Glendowie,2877.0,0.0,0.0,0.0,0.0,0.0,0.0
Glenfield,5286.0,1.0,28.0,10.0,1.0,403.0,81.0
Golflands,873.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodwood Heights,1143.0,0.0,0.0,0.0,0.0,0.0,0.0
Grafton,558.0,0.0,0.0,0.0,0.0,0.0,0.0
Grange,462.0,0.0,6.0,2.0,2.0,70.0,31.0
Green Bay,1833.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenhithe,2613.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenlane,2577.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey Lynn,4173.0,0.0,29.0,11.0,3.0,410.0,79.0
Gulf Harbour,2028.0,0.0,0.0,0.0,0.0,0.0,0.0
Gulf Islands,63.0,0.0,0.0,0.0,0.0,0.0,0.0
Half Moon Bay,2604.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamilton Estate,873.0,0.0,0.0,0.0,0.0,0.0,0.0
Harania,1368.0,0.0,11.0,2.0,0.0,37.0,27.0
Hatfields Beach,558.0,0.0,4.0,0.0,0.0,11.0,3.0
Hauraki,1434.0,0.0,9.0,1.0,0.0,124.0,29.0
Helensville,993.0,0.0,13.0,2.0,1.0,30.0,33.0
Helensville Rural,498.0,0.0,0.0,0.0,0.0,0.0,0.0
Henderson,3546.0,1.0,55.0,8.0,7.0,285.0,60.0
Henderson Larnoch,1173.0,0.0,0.0,0.0,0.0,0.0,0.0
Henderson Lincoln,1710.0,0.0,0.0,0.0,0.0,0.0,0.0
Henderson Valley,486.0,0.0,0.0,0.0,0.0,0.0,0.0
Henderson Valley Park,519.0,0.0,0.0,0.0,0.0,0.0,0.0
Herne Bay,1233.0,0.0,1.0,0.0,0.0,54.0,23.0
Highland Park,1575.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillcrest,3471.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillpark,1575.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillsborough,3870.0,0.0,0.0,0.0,0.0,0.0,0.0
Hilltop,864.0,0.0,0.0,0.0,0.0,0.0,0.0
Hingaia,783.0,0.0,6.0,3.0,0.0,358.0,44.0
Hobson Ridge,3540.0,0.0,0.0,0.0,0.0,0.0,0.0
Hobsonville,399.0,0.0,0.0,0.0,0.0,0.0,0.0
Hobsonville Point,1413.0,0.0,0.0,0.0,0.0,0.0,0.0
Homai,1833.0,0.0,36.0,9.0,8.0,145.0,131.0
Howick,3822.0,0.0,21.0,4.0,2.0,197.0,59.0
Huntington Park,795.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunua,444.0,0.0,3.0,0.0,1.0,13.0,19.0
Inlet Kaipara Harbour,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inlet Manukau Harbour,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inlet Waitemata Harbour,0.0,0.0,0.0,0.0,0.0,0.0,0.0
