Address,Price,Bedroom,Bathroom,Garage,Other Feature 1,Other Feature 2,Furniture,Type_Apartment,Type_Carpark,Type_House,Type_Studio,Type_Townhouse,Type_Unit,Type_Unknown,Suburb
"3/45 Mangere Road, Otahuhu, Auckland City",380.0,1,1,1,,,0,0,0,0,0,0,1,0,Otahuhu
"3/1280 New North Road, Avondale, Auckland City",700.0,3,2,4,,,0,0,0,1,0,0,0,0,Avondale
"6/375 Great South Road, Greenlane, Auckland City",1100.0,4,4,1,,,0,0,0,1,0,0,0,0,Greenlane
"a/1 Hoheria Road, Onehunga, Auckland City",680.0,3,1,2,,,0,0,0,1,0,0,0,0,Onehunga
"2205/32 Swanson Street, Auckland Central, Auckland City",460.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"4 Dockside Lane, Auckland Central, Auckland City",665.0,2,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"12 Rangipawa Road, One Tree Hill, Auckland City",950.0,3,1,2,,,0,0,0,1,0,0,0,0,One Tree Hill
"12 May Road, Mount Albert, Auckland City",760.0,3,1,2,,,0,0,0,1,0,0,0,0,Mount Albert
"205/4 Bluegrey Avenue, Stonefields, Auckland City",540.0,1,1,1,,,0,1,0,0,0,0,0,0,Stonefields
"46 Elm Street, Avondale, Auckland City",670.0,2,1,1,,,0,0,0,0,0,1,0,0,Avondale
"1/29 Dudley Road, Mission Bay, Auckland City",600.0,2,1,1,,,0,0,0,0,0,0,1,0,Mission Bay
"4J/250 Richmond Road, Grey Lynn, Auckland City",550.0,1,1,1,,,0,1,0,0,0,0,0,0,Grey Lynn
"19/1 Glenside Crescent, Auckland Central, Auckland City",750.0,2,2,,,,0,0,0,0,0,1,0,0,Auckland Central
"3/296 Ellerslie Panmure Highway, Mount Wellington, Auckland City",585.0,2,1,1,,,0,0,0,0,0,0,1,0,Mount Wellington
"63/32 Edwin Street, Mount Eden, Auckland City",820.0,3,1,2,,,0,0,0,1,0,0,0,0,Mount Eden
"6-8 Lorne Street, Auckland Central, Auckland City",400.0,1,1,,30m2,,0,1,0,0,0,0,0,0,Auckland Central
"8I/508 Queen Street, Auckland Central, Auckland City",400.0,1,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"1/24 Douglas Road, Mount Eden, Auckland City",670.0,2,1,1,,,0,0,0,1,0,0,0,0,Mount Eden
"11C Athens Road, One Tree Hill, Auckland City",1000.0,4,3,1,,,0,0,0,1,0,0,0,0,One Tree Hill
"47 Beach Road, Auckland Central, Auckland City",520.0,1,1,,37m2,New build,0,1,0,0,0,0,0,0,Auckland Central
"59/406 Great North Road, Grey Lynn, Auckland City",820.0,2,3,1,,,0,0,0,0,0,1,0,0,Grey Lynn
"9A Jesmond Terrace, Mount Albert, Auckland City",800.0,3,1,3,,,0,0,0,1,0,0,0,0,Mount Albert
"108/223a Greenlane West , Epsom, Auckland City",770.0,2,2,1,1 ensuite,,0,1,0,0,0,0,0,0,Epsom
"6/52 Ascot Avenue, Remuera, Auckland City",690.0,3,1,4,,,0,0,0,0,0,1,0,0,Remuera
"31 Findlay Street, Ellerslie, Auckland City",780.0,4,1,4,731m2,,0,0,0,1,0,0,0,0,Ellerslie
"16 Mersey Place, New Windsor, Auckland City",850.0,3,1,9,,,0,0,0,1,0,0,0,0,New Windsor
"2/123 White Swan Road, Mount Roskill, Auckland City",860.0,4,2,,2,202m2,0,0,0,1,0,0,0,0,Mount Roskill
"307/250 Kepa Road, Mission Bay, Auckland City",765.0,1,1,1,,,0,1,0,0,0,0,0,0,Mission Bay
"A6/25 Cheshire Street, Parnell, Auckland City",525.0,1,1,,,,0,1,0,0,0,0,0,0,Parnell
"1D/14 Waterloo Quadrant, Auckland Central, Auckland City",500.0,1,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"37 Tamora Lane, Avondale, Auckland City",930.0,4,2,2,,,0,0,0,0,0,1,0,0,Avondale
"7 Shirley Road, Grey Lynn, Auckland City",550.0,1,1,1,,,0,0,0,0,0,0,1,0,Grey Lynn
"17B Rewi Road, Royal Oak, Auckland City",1400.0,5,3,4,,,0,0,0,0,0,1,0,0,Royal Oak
"125 Carrington Road, Point Chevalier, Auckland City",400.0,1,1,,,,0,1,0,0,0,0,0,0,Point Chevalier
"98 Point Chevalier Road, Point Chevalier, Auckland City",600.0,3,1,2,,,0,0,0,1,0,0,0,0,Point Chevalier
"83 Empire Road, Epsom, Auckland City",1750.0,5,1,4,,,0,0,0,1,0,0,0,0,Epsom
"3/6 Sarsfield Street, Herne Bay, Auckland City",950.0,3,1,1,,,0,0,0,0,0,1,0,0,Herne Bay
"101/1 Purewa Road, Meadowbank, Auckland City",850.0,2,2,1,,,0,0,0,1,0,0,0,0,Meadowbank
"26 Codrington Crescent, Mission Bay, Auckland City",1500.0,4,2,4,,,0,0,0,1,0,0,0,0,Mission Bay
"2213/10 Waterloo Quadrant, Auckland Central, Auckland City",430.0,1,1,,,,1,0,0,1,0,0,0,0,Auckland Central
"1008/20 Park Avenue, Ellerslie, Auckland City",600.0,1,1,,,,0,0,0,1,0,0,0,0,Ellerslie
"6 Winchester Street, Grey Lynn, Auckland City",870.0,3,1,1,,,1,1,0,0,0,0,0,0,Grey Lynn
"Room 5/Level 7-12 Vincent Street , Auckland Central, Auckland City",280.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"7 Avon Street, Parnell, Auckland City",1100.0,2,2,,,,0,1,0,0,0,0,0,0,Parnell
"1C,12 Vinegar Lane, Ponsonby, Auckland City",780.0,2,2,,,,0,1,0,0,0,0,0,0,Ponsonby
"3 Exler Place, Avondale, Auckland City",1100.0,5,2,4,1 ensuite,,0,0,0,1,0,0,0,0,Avondale
"4/31 Symonds Street, Onehunga, Auckland City",575.0,2,1,1,,,0,0,0,0,0,0,1,0,Onehunga
"20B Roberton Road, Avondale, Auckland City",1200.0,4,3,4,,,0,0,0,1,0,0,0,0,Avondale
"304/1 Turakina Street, Grey Lynn, Auckland City",820.0,2,2,1,,,0,1,0,0,0,0,0,0,Grey Lynn
"1/12 Memorial Avenue, Mount Roskill, Auckland City",645.0,3,1,,,,0,0,0,0,0,0,1,0,Mount Roskill
"2/42 Don Croot Street, Morningside, Auckland City",460.0,2,1,1,,,0,1,0,0,0,0,0,0,Morningside
"8/42 Don Croot Street, Morningside, Auckland City",420.0,1,1,1,,,0,1,0,0,0,0,0,0,Morningside
"216/149 Nelson Street, Auckland Central, Auckland City",570.0,2,1,,,,1,0,0,0,0,0,1,0,Auckland Central
"72 Nelson Street, Auckland Central, Auckland City",475.0,2,1,1,,,0,1,0,0,0,0,0,0,Auckland Central
"23E Windsor Street, Parnell, Auckland City",1600.0,4,4,,,,0,0,0,0,0,1,0,0,Parnell
"38 Budgen Street, Mount Roskill, Auckland City",700.0,3,1,3,,,0,0,0,1,0,0,0,0,Mount Roskill
"9 Cotesmore Way, Parnell, Auckland City",720.0,3,2,2,,,0,0,0,0,0,1,0,0,Parnell
"4/70A Barrack Road, Mount Wellington, Auckland City",640.0,2,2,1,,,0,0,0,0,0,1,0,0,Mount Wellington
"4 Hadlow Terrace, Grey Lynn, Auckland City",830.0,2,3,1,,,0,1,0,0,0,0,0,0,Grey Lynn
"6 Hadlow Terrace, Grey Lynn, Auckland City",830.0,2,3,1,,,0,0,0,1,0,0,0,0,Grey Lynn
"247B Hillsborough Road, Hillsborough, Auckland City",800.0,4,2,3,,,0,0,0,1,0,0,0,0,Hillsborough
"57 Tuarangi Rd, Grey Lynn, Auckland City",1250.0,3,2,2,,,0,0,0,1,0,0,0,0,Grey Lynn
"G01/2 Finch Street, Morningside, Auckland City",570.0,1,1,,,,0,0,0,1,0,0,0,0,Morningside
"3/43 Caulton Street, Saint Johns, Auckland City",475.0,1,1,1,,,0,1,0,0,0,0,0,0,Saint Johns
"407/88 The Strand, Parnell, Auckland City",450.0,1,1,,,,0,1,0,0,0,0,0,0,Parnell
"5D/46 Liverpool Street, Auckland Central, Auckland City",350.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"2/40 Saxon Street, Waterview, Auckland City",710.0,3,1,2,,,0,0,0,0,0,1,0,0,Waterview
"16/39 Pitt Steet, Auckland Central, Auckland City",895.0,3,1,2,,,0,0,0,0,0,1,0,0,Auckland Central
"203/70 Anzac Avenue, Auckland Central, Auckland City",690.0,2,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"3/12/91 St Georges Bay Road, Parnell, Auckland City",1200.0,3,1,2,,,0,0,0,1,0,0,0,0,Parnell
"3/9 Sentinel Road, Herne Bay, Auckland City",520.0,1,1,,,,1,0,0,1,0,0,0,0,Herne Bay
"4/65 Mariri Road, One Tree Hill, Auckland City",535.0,2,1,1,,,0,0,0,0,0,0,1,0,One Tree Hill
