Address,Price,Bedroom,Bathroom,Garage,Other Feature 1,Other Feature 2,Furniture,Type_Apartment,Type_Carpark,Type_House,Type_Studio,Type_Townhouse,Type_Unit,Type_Unknown,Suburb
"72 Nelson Street, Auckland Central, Auckland City",375.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"7B/15 Mount Street, Auckland Central, Auckland City",650.0,2,1,1,,,1,1,0,0,0,0,0,0,Auckland Central
"4A Prospero Terrace, Mount Albert, Auckland City",525.0,1,1,1,,,0,0,0,0,0,0,1,0,Mount Albert
"4/56 Felton Mathew Ave, Saint Johns, Auckland City",495.0,2,1,,,,0,0,0,1,0,0,0,0,Saint Johns
"701/85 Nuffield Street, Newmarket, Auckland City",1200.0,2,2,1,,,0,1,0,0,0,0,0,0,Newmarket
"35B Wallace Street, Herne Bay, Auckland City",1450.0,4,2,2,,,0,0,0,1,0,0,0,0,Herne Bay
"32A Carbine Road, Mount Wellington, Auckland City",300.0,1,1,3,,,0,0,0,1,0,0,0,0,Mount Wellington
"165A Line Road, Glen Innes, Auckland City",560.0,3,1,,,,0,0,0,1,0,0,0,0,Glen Innes
"309/59 France Street, Eden Terrace, Auckland City",800.0,2,1,,,,0,1,0,0,0,0,0,0,Eden Terrace
"5AL/14 Waterloo Quadrant , Auckland Central, Auckland City",750.0,2,2,1,115m2,,0,1,0,0,0,0,0,0,Auckland Central
"A/66 Rawhitiroa Road, Kohimarama, Auckland City",1550.0,4,3,3,,,0,0,0,1,0,0,0,0,Kohimarama
"3/14 Tomuri Place, Mount Wellington, Auckland City",1100.0,4,4,,,,0,0,0,1,0,0,0,0,Mount Wellington
"6/14 Tomuri Place, Mount Wellington, Auckland City",1100.0,4,4,,,,0,0,0,1,0,0,0,0,Mount Wellington
"4/14 Tomuri PLace, Mount Wellington, Auckland City",1100.0,4,4,,,,0,0,0,1,0,0,0,0,Mount Wellington
"5/14 Tomuri Place, Mount Wellington, Auckland City",1100.0,4,4,,,,0,0,0,1,0,0,0,0,Mount Wellington
"35 Chesterfield Ave, Glendowie, Auckland City",1250.0,3,2,2,,,0,0,0,0,0,1,0,0,Glendowie
"4/3 Eden Crescent, Auckland Central, Auckland City",700.0,2,1,1,,,1,1,0,0,0,0,0,0,Auckland Central
"3C Ngatiawa Street, One Tree Hill, Auckland City",750.0,3,1,2,,,0,0,0,1,0,0,0,0,One Tree Hill
